idx,lon,lat
304,144.631,-3.63
305,144.818,-3.613
306,144.963,-3.994
307,145.037,-4.08
308,145.964,-4.649
309,146.256,-4.311
310,146.75,-4.9
311,147.12,-5.358
312,147.875,-5.589
313,148.121,-5.52
314,148.094,-5.414
315,148.57,-5.2
316,148.42,-5.525
317,149.35,-4.63
318,149.5,-4.692
319,150.108,-5.056
320,150.03,-5.15
321,150.07,-5.3
322,150.03,-5.45
323,150.507,-5.468
324,150.52,-5.58
325,150.942,-5.5
326,151.1,-5.33
327,151.23,-5.2
328,151.33,-5.05
329,151.158,-4.92
330,152.203,-4.271
331,152.2,-4.12
332,149.125,-4.55
333,143.15,-5.9
334,145.08,-6.58
335,145.858,-7.05
336,146.708,-7.33
337,147.57,-9.2
338,148.15,-8.95
339,148.37,-9.0
340,148.33,-9.08
341,149.07,-9.2
342,149.13,-9.48
343,149.075,-9.57
344,150.35,-9.48
345,150.53,-9.52
346,150.88,-9.62
347,152.642,-3.125
348,153.65,-4.08
349,153.22,-3.5
350,154.93,-5.83
351,154.98,-5.92
352,155.225,-6.092
353,155.196,-6.137
354,155.608,-6.442
355,155.62,-6.52
356,156.52,-8.292
357,157.03,-8.75
358,157.17,-8.83
359,157.95,-9.02
360,158.03,-8.92
361,159.73,-9.35
362,159.82,-9.13
363,156.6,-7.67
364,165.8,-10.38
365,167.67,-13.67
366,167.47,-13.8
367,167.5,-14.27
368,168.05,-14.45
369,167.83,-15.4
370,168.12,-16.25
371,168.346,-16.507
372,168.37,-16.68
373,168.536,-16.829
374,168.592,-16.992
375,168.353,-17.47
376,169.23,-18.75
377,169.442,-19.53
378,169.78,-20.2
379,170.28,-20.98
380,171.32,-22.33
381,172.05,-22.4
382,168.63,-25.78
383,142.5,-37.77
384,94.28,13.43
385,93.858,12.278
386,95.658,5.448
387,96.329,4.914
388,96.821,4.769
389,98.52,3.23
390,98.392,3.17
391,98.83,2.58
392,98.93,2.158
393,99.255,1.556
394,99.209,1.478
395,99.539,0.686
396,99.67,0.47
397,99.98,0.079
398,100.2,0.08
399,100.473,-0.381
400,100.317,-0.433
401,100.679,-0.978
402,101.264,-1.697
403,101.483,-2.274
404,101.6,-2.33
405,101.728,-2.414
406,102.02,-2.82
407,102.18,-2.82
408,102.37,-3.38
409,102.62,-3.52
410,103.13,-4.03
411,103.3,-4.27
412,103.62,-4.22
413,103.67,-4.43
414,103.92,-4.83
415,104.32,-5.12
416,104.27,-5.25
417,104.6,-5.35
418,105.625,-5.78
419,95.28,5.82
420,96.82,4.813
421,97.664,3.85
422,105.423,-6.102
423,105.975,-6.342
424,106.042,-6.27
425,106.7,-6.75
426,106.73,-6.72
427,106.98,-6.78
428,107.4,-7.16
429,107.63,-7.208
430,107.65,-7.13
431,107.6,-6.77
432,107.73,-7.32
433,107.72,-7.23
434,107.84,-7.143
435,107.95,-6.77
436,108.058,-7.25
437,108.07,-7.208
438,108.4,-6.892
439,109.208,-7.242
440,109.92,-7.2
441,109.992,-7.3
442,110.07,-7.384
443,110.33,-7.18
444,110.4,-7.37
445,110.43,-7.45
446,110.442,-7.542
447,110.88,-6.62
448,111.192,-7.625
449,111.758,-7.808
450,112.308,-7.93
451,112.45,-7.92
452,112.58,-7.725
453,112.63,-7.62
454,112.68,-8.02
455,112.92,-8.108
456,112.95,-7.942
457,113.342,-7.979
458,113.58,-7.73
459,113.57,-7.97
460,114.042,-8.125
461,114.242,-8.058
462,114.37,-7.85
463,107.8,-7.125
464,115.13,-8.28
465,115.375,-8.242
466,115.508,-8.342
467,116.47,-8.42
468,118.0,-8.25
469,119.07,-8.2
470,120.02,-8.72
471,120.48,-8.68
472,120.52,-8.62
473,120.95,-8.875
474,120.98,-8.73
475,121.18,-8.82
476,121.645,-8.897
477,121.77,-8.792
478,121.82,-8.77
479,121.708,-8.32
480,122.45,-8.67
481,122.671,-8.478
482,122.775,-8.542
483,122.842,-8.358
484,123.258,-8.342
485,123.505,-8.272
486,123.38,-8.55
487,123.57,-8.53
488,123.579,-7.792
489,124.13,-8.508
490,122.907,-8.301
491,126.65,-6.642
492,128.675,-7.125
493,129.125,-6.92
494,129.5,-6.73
495,130.0,-6.3
496,130.292,-5.53
497,129.871,-4.525
498,121.608,-0.17
499,124.42,0.75
500,124.73,1.108
501,124.758,1.13
502,124.83,1.23
503,124.792,1.358
504,124.858,1.358
505,125.03,1.47
506,125.2,1.52
507,125.37,2.3
508,125.4,2.78
509,125.491,3.138
510,125.5,3.67
511,127.83,1.83
512,127.88,1.68
513,127.67,1.63
514,127.63,1.488
515,127.53,1.38
516,127.47,1.25
517,127.42,1.08
518,127.32,0.9
519,127.33,0.8
520,127.4,0.658
521,127.4,0.57
522,127.4,0.45
523,127.4,0.32
524,127.42,0.07
525,127.48,-0.53
526,127.72,-0.77
527,117.88,4.4
528,121.057,6.013
529,125.375,5.4
530,124.892,6.113
531,125.07,6.37
532,125.269,6.989
533,126.047,7.382
534,124.32,7.647
535,124.45,7.65
536,124.5,7.7
537,124.8,7.95
538,125.068,7.877
539,123.63,8.22
540,124.98,8.77
541,124.673,9.203
542,125.52,9.593
543,123.17,9.25
544,123.132,10.412
545,123.25,10.65
546,123.23,10.77
547,125.221,10.287
548,124.87,10.896
549,124.535,11.523
550,124.05,12.77
551,123.958,13.05
552,123.685,13.257
553,123.6,13.32
554,123.457,13.457
555,123.38,13.658
556,122.018,13.24
557,121.48,14.07
558,121.3,14.12
559,120.993,14.002
560,121.27,14.42
561,120.47,14.52
562,120.4,14.72
563,120.35,15.13
564,120.742,15.2
565,120.805,15.828
566,120.55,16.33
567,120.98,17.147
568,121.1,17.32
569,122.123,18.222
570,123.608,13.416
571,122.792,14.02
572,120.893,13.723
573,121.86,18.83
574,122.202,19.077
575,121.94,19.523
576,121.75,20.33
577,122.01,20.469
578,110.1,19.7
579,110.17,20.78
580,109.12,15.38
581,108.0,14.93
582,108.2,11.6
583,107.2,10.8
584,109.014,10.158
585,109.05,9.83
586,95.25,20.92
587,95.1,22.28
588,95.98,22.7
589,98.5,25.23
590,121.18,21.83
591,121.83,24.0
592,121.92,24.85
593,121.52,25.17
594,122.2,25.4
595,122.458,26.18
596,122.07,25.63
597,123.93,24.57
598,128.223,27.881
599,128.997,28.797
600,129.597,29.461
601,129.714,29.638
602,129.857,29.859
603,129.625,29.879
604,129.926,29.968
605,130.217,30.443
606,130.308,30.789
607,130.57,31.22
608,130.657,31.593
609,130.592,31.771
610,130.862,31.934
611,128.849,32.657
612,130.299,32.761
613,131.104,32.884
614,131.249,33.086
615,131.39,33.282
616,131.6,34.5
617,132.621,35.139
618,133.334,36.176
619,139.098,34.9
620,139.021,35.233
621,138.728,35.361
622,138.32,36.087
623,137.48,35.893
624,136.771,36.155
625,137.554,36.106
626,137.573,36.2
627,137.587,36.227
628,137.594,36.408
629,137.59,36.571
630,138.036,36.921
631,138.114,36.891
632,138.523,36.406
633,138.528,36.618
634,138.519,36.688
635,138.851,36.477
636,139.193,36.56
637,139.285,36.955
638,139.376,36.799
639,139.494,36.762
640,139.51,36.792
641,139.777,36.9
642,139.963,37.125
643,139.566,37.444
644,140.072,37.601
645,140.281,37.647
646,140.244,37.735
647,140.44,38.144
648,140.162,38.599
649,140.734,38.729
650,140.788,38.961
651,140.049,39.099
652,140.799,39.761
653,141.001,39.853
654,140.854,39.958
655,140.757,39.964
656,139.73,39.95
657,140.303,40.656
658,140.88,40.51
